id,value,color
App,,
App.Reseaux-Sociaux,,
App.Reseaux-Sociaux.Facebook,0.3548,#808080
App.Reseaux-Sociaux.Linkedin,0.0188,#2E2575
App.Reseaux-Sociaux.Snapchat,0.0094,#E54F24
App.Reseaux-Sociaux.Instagram,0.1278,#FF9900
App.Reseaux-Sociaux.Youtube,0.1445,#563B7E
App.Musique,,
App.Musique.Spotify,0.0121,#F6854D
App.Musique.Deezer,0.0246,#00618A
App.Chat,,
App.Chat.Whatsapp,0.0356,#617CBE
App.Chat.Messenger,0.0476,#0073AD
App.Mail,,
App.Mail.Gmail,0.0194,#808080
App.Shopping,,
App.Shopping.Shopping_app,0.1254,#040404
App.Navigateur,,
App.Navigateur.Browser_app,0.1143,#CA212F
App.Autres,,
App.Autres.Appli_Banque,0.00566,#00A0D2
App.Autres.Transport,0.01154,#0678BE
App.Autres.Meteo,0.00478,#EB2C2F
App.Autres.Jeux,0.0289,#59666C
