id,value,color
App,
App.Reseaux-Sociaux,
App.Reseaux-Sociaux.Facebook,0.3548,#808080
App.Reseaux-Sociaux.Linkedin,0.0188,#2E2575
App.Reseaux-Sociaux.Snapchat,0.0094,#E54F24
App.Reseaux-Sociaux.Instagram,0.1278,#FF9900
App.Reseaux-Sociaux.Youtube,0.1445,#563B7E
App.Reseaux-Sociaux.Spotify,0.0121,#F6854D
App.Reseaux-Sociaux.Deezer,0.0246,#00618A
App.Reseaux-Sociaux.Whatsapp,0.0356,#617CBE
App.Reseaux-Sociaux.Messenger,0.0476,#0073AD
App.Reseaux-Sociaux.Gmail,0.0194,#808080
App.Reseaux-Sociaux.Shopping_app,0.1254,#040404
App.Reseaux-Sociaux.Browser_app,0.1143,#CA212F
App.Reseaux-Sociaux.Appli_Banque,0.00566,#00A0D2
App.Reseaux-Sociaux.Transport,0.01154,#0678BE
App.Reseaux-Sociaux.Meteo,0.00478,#EB2C2F
App.Reseaux-Sociaux.Jeux,0.0289,#59666C
